respondent_id,party_id,ideology_lr_scale,gender,education,income,income_band,age
3,Liberal Party,0.0,A woman,Master's degree,63000.0,"$60,001 to $90,000",29.0
6,NDP,,A woman,Professional degree or doctorate,200000.0,"$150,001 to $200,000",52.0
9,,,A man,Some college/CEGEP,75.0,"$1 to $30,000",92.0
10,Liberal Party,1.0,A woman,Completed college/CEGEP,142000.0,"$110,001 to $150,000",33.0
11,NDP,,A woman,Some university,69000.0,"$60,001 to $90,000",48.0
13,,8.0,A man,Some elementary school,48000.0,"$30,001 to $60,000",66.0
17,Liberal Party,,A woman,Completed college/CEGEP,46000.0,"$30,001 to $60,000",31.0
18,Liberal Party,4.0,A man,Bachelor's degree,145000.0,"$110,001 to $150,000",29.0
21,Liberal Party,5.0,A man,Some university,160000.0,"$150,001 to $200,000",58.0
23,Liberal Party,2.0,A woman,Some university,46000.0,"$30,001 to $60,000",77.0
26,Liberal Party,4.0,A woman,Bachelor's degree,150000.0,"$110,001 to $150,000",62.0
32,Liberal Party,1.0,A woman,Some university,180000.0,"$150,001 to $200,000",46.0
34,Liberal Party,7.0,A man,Some college/CEGEP,30000.0,"$1 to $30,000",40.0
35,,,A woman,Completed secondary/high school,29000.0,"$1 to $30,000",60.0
36,Liberal Party,4.0,A man,Some college/CEGEP,129000.0,"$110,001 to $150,000",59.0
38,NDP,0.0,A woman,Master's degree,180000.0,"$150,001 to $200,000",28.0
41,Liberal Party,4.0,A woman,Bachelor's degree,34000.0,"$30,001 to $60,000",22.0
43,,,A man,Completed secondary/high school,90000.0,"$60,001 to $90,000",25.0
44,Conservative Party,8.0,A man,Completed college/CEGEP,70000.0,"$60,001 to $90,000",78.0
45,Liberal Party,3.0,A woman,Some college/CEGEP,105000.0,"$90,001 to $110,000",49.0
46,,2.0,A woman,Bachelor's degree,110000.0,"$90,001 to $110,000",30.0
48,,5.0,A man,Some college/CEGEP,75000.0,"$60,001 to $90,000",69.0
51,NDP,6.0,A woman,Professional degree or doctorate,42000.0,"$30,001 to $60,000",24.0
52,Liberal Party,3.0,A man,Bachelor's degree,219000.0,"More than $200,000",53.0
58,Conservative Party,7.0,A man,Master's degree,45000.0,"$30,001 to $60,000",33.0
61,Conservative Party,7.0,A woman,Some college/CEGEP,125000.0,"$110,001 to $150,000",30.0
66,,,A man,Completed college/CEGEP,0.0,,76.0
71,Conservative Party,6.0,A man,Professional degree or doctorate,35000.0,"$30,001 to $60,000",59.0
72,NDP,3.0,A woman,Completed secondary/high school,150000.0,"$110,001 to $150,000",69.0
78,,5.0,A man,Bachelor's degree,140000.0,"$110,001 to $150,000",76.0
81,,2.0,A man,Bachelor's degree,174000.0,"$150,001 to $200,000",36.0
83,NDP,,A woman,Some college/CEGEP,0.0,,80.0
85,NDP,7.0,A woman,Bachelor's degree,66000.0,"$60,001 to $90,000",27.0
86,NDP,0.0,A woman,Bachelor's degree,0.0,,28.0
92,NDP,3.0,A woman,Completed college/CEGEP,32000.0,"$30,001 to $60,000",22.0
95,Liberal Party,3.0,A man,Some college/CEGEP,30000.0,"$1 to $30,000",32.0
97,,6.0,A man,Bachelor's degree,80000.0,"$60,001 to $90,000",77.0
98,Conservative Party,8.0,A woman,Bachelor's degree,72000.0,"$60,001 to $90,000",64.0
106,NDP,,A woman,Completed secondary/high school,80000.0,"$60,001 to $90,000",18.0
107,Liberal Party,3.0,A woman,Bachelor's degree,120000.0,"$110,001 to $150,000",79.0
109,Conservative Party,,A man,Bachelor's degree,56000.0,"$30,001 to $60,000",43.0
114,Conservative Party,7.0,A woman,Some college/CEGEP,126000.0,"$110,001 to $150,000",58.0
117,NDP,7.0,A woman,Bachelor's degree,72000.0,"$60,001 to $90,000",29.0
118,Liberal Party,3.0,A man,Master's degree,220000.0,"More than $200,000",38.0
119,Conservative Party,6.0,A man,Bachelor's degree,300000.0,"More than $200,000",78.0
121,Liberal Party,6.0,A woman,Bachelor's degree,50000.0,"$30,001 to $60,000",24.0
127,Liberal Party,3.0,A woman,Bachelor's degree,100000.0,"$90,001 to $110,000",38.0
131,Conservative Party,8.0,A woman,Completed secondary/high school,32000.0,"$30,001 to $60,000",69.0
132,Conservative Party,7.0,A man,Professional degree or doctorate,135000.0,"$110,001 to $150,000",44.0
134,Liberal Party,8.0,A woman,Completed secondary/high school,35.0,"$1 to $30,000",41.0
135,Liberal Party,8.0,A woman,Completed secondary/high school,,,59.0
139,NDP,9.0,A man,Completed college/CEGEP,45000.0,"$30,001 to $60,000",59.0
